Interchange,lat,long
Bukit Panjang Integrated Transport Hub,1.37843100827586,103.762842789877
Choa Chu Kang Interchange,1.38545178257874,103.745269671438
Woodlands Integrated Transport Hub,1.43681962961519,103.786066799253
Woodlands Temporary Bus Interchange,1.43758797246449,103.786574866893
Ang Mo Kio Bus Interchange,1.36951942637994,103.848462230319
Bedok Integrated Transport Hub,1.32473632784728,103.929256259998
Bishan Bus Interchange,1.35011694205963,103.849763180442
Boon Lay Bus Interchange,1.33931504059378,103.705350996191
Bukit Batok Bus Interchange,1.34971948024642,103.750968656542
Bukit Merah Bus Interchange,1.2820403214522,103.817210058118
Clementi Bus Interchange,1.3149665228556,103.764270468137
Compassvale Bus Interchange,1.39112188997681,103.897158550375
Eunos  Bus Interchange,1.31934126205926,103.901891285083
HarbourFront  Bus Interchange,1.26690355199401,103.819170810285
Hougang Central Bus Interchange,1.37089457370274,103.893157488293
Joo Koon Bus Interchange,1.3271618610269,103.678279283036
Jurong East Bus Interchange,1.33186414040483,103.740927198553
Pasir Ris Bus Interchange,1.37354705786224,103.950490160084
Punggol Bus Interchange,1.40427754900529,103.902303768528
Sembawang Bus Interchange,1.44734468479483,103.81984552682
Sengkang Bus Interchange,1.39168782518022,103.896129776175
Serangoon Bus Interchange,1.35076935257845,103.872296143862
Tampines Bus Interchange,1.35436743482952,103.943674728347
Tampines Concourse Bus Interchange,1.35732151686083,103.941751419825
Toa Payoh Bus Interchange,1.33206903310283,103.847133555683
Yio Chu Kang Bus Interchange,1.38280883329554,103.844817568478
Yishun Integrated Transport Hub,1.42817656300806,103.836120716783
