Station,Line
Expo MRT,Changi Airport Branch
Changi Airport MRT,Changi Airport Branch
Dhoby Ghaut MRT,Circle
Bras Basah MRT,Circle
Esplanade MRT,Circle
Promenade MRT,Circle
Nicoll Highway MRT,Circle
Stadium MRT,Circle
Mountbatten MRT,Circle
Dakota MRT,Circle
Paya Lebar MRT,Circle
MacPherson MRT,Circle
Tai Seng MRT,Circle
Bartley MRT,Circle
Serangoon MRT,Circle
Lorong Chuan MRT,Circle
Bishan MRT,Circle
Marymount MRT,Circle
Caldecott MRT,Circle
Botanic Gardens MRT,Circle
Farrer Road MRT,Circle
Holland Village MRT,Circle
Buona Vista MRT,Circle
one-north MRT,Circle
Kent Ridge MRT,Circle
Haw Par Villa MRT,Circle
Pasir Panjang MRT,Circle
Labrador Park MRT,Circle
Telok Blangah MRT,Circle
HarbourFront MRT,Circle
Bayfront MRT,Circle Extension
Marina Bay MRT,Circle Extension
Bukit Panjang MRT,Downtown
Cashew MRT,Downtown
Hillview MRT,Downtown
Beauty World MRT,Downtown
King Albert Park MRT,Downtown
Sixth Avenue MRT,Downtown
Tan Kah Kee MRT,Downtown
Botanic Gardens MRT,Downtown
Stevens MRT,Downtown
Newton MRT,Downtown
Little India MRT,Downtown
Rochor MRT,Downtown
Bugis MRT,Downtown
Promenade MRT,Downtown
Bayfront MRT,Downtown
Downtown MRT,Downtown
Telok Ayer MRT,Downtown
Chinatown MRT,Downtown
Fort Canning MRT,Downtown
Bencoolen MRT,Downtown
Jalan Besar MRT,Downtown
Bendemeer MRT,Downtown
Geylang Bahru MRT,Downtown
Mattar MRT,Downtown
MacPherson MRT,Downtown
Ubi MRT,Downtown
Kaki Bukit MRT,Downtown
Bedok North MRT,Downtown
Bedok Reservoir MRT,Downtown
Tampines West MRT,Downtown
Tampines MRT,Downtown
Tampines East MRT,Downtown
Upper Changi MRT,Downtown
Expo MRT,Downtown
Pasir Ris MRT,East West
Tampines MRT,East West
Simei MRT,East West
Tanah Merah MRT,East West
Bedok MRT,East West
Kembangan MRT,East West
Eunos MRT,East West
Paya Lebar MRT,East West
Aljunied MRT,East West
Kallang MRT,East West
Lavender MRT,East West
Bugis MRT,East West
City Hall MRT,East West
Raffles Place MRT,East West
Tanjong Pagar MRT,East West
Outram Park MRT,East West
Tiong Bahru MRT,East West
Redhill MRT,East West
Queenstown MRT,East West
Commonwealth MRT,East West
Buona Vista MRT,East West
Dover MRT,East West
Clementi MRT,East West
Jurong East MRT,East West
Chinese Garden MRT,East West
Lakeside MRT,East West
Boon Lay MRT,East West
Pioneer MRT,East West
Joo Koon MRT,East West
Gul Circle MRT,East West
Tuas Crescent MRT,East West
Tuas West Road MRT,East West
Tuas Link MRT,East West
HarbourFront MRT,North East
Outram Park MRT,North East
Chinatown MRT,North East
Clarke Quay MRT,North East
Dhoby Ghaut MRT,North East
Little India MRT,North East
Farrer Park MRT,North East
Boon Keng MRT,North East
Potong Pasir MRT,North East
Woodleigh MRT,North East
Serangoon MRT,North East
Kovan MRT,North East
Hougang MRT,North East
Buangkok MRT,North East
Sengkang MRT,North East
Punggol MRT,North East
Jurong East MRT,North South
Bukit Batok MRT,North South
Bukit Gombak MRT,North South
Choa Chu Kang MRT,North South
Yew Tee MRT,North South
Kranji MRT,North South
Marsiling MRT,North South
Woodlands MRT,North South
Admiralty MRT,North South
Sembawang MRT,North South
Canberra MRT,North South
Yishun MRT,North South
Khatib MRT,North South
Yio Chu Kang MRT,North South
Ang Mo Kio MRT,North South
Bishan MRT,North South
Braddell MRT,North South
Toa Payoh MRT,North South
Novena MRT,North South
Newton MRT,North South
Orchard MRT,North South
Somerset MRT,North South
Dhoby Ghaut MRT,North South
City Hall MRT,North South
Raffles Place MRT,North South
Marina Bay MRT,North South
Marina South Pier MRT,North South
Woodlands North MRT,Thomson–East Coast
Woodlands MRT,Thomson–East Coast
Woodlands South MRT,Thomson–East Coast
Springleaf MRT,Thomson–East Coast
Lentor MRT,Thomson–East Coast
Mayflower MRT,Thomson–East Coast
Bright Hill MRT,Thomson–East Coast
Upper Thomson MRT,Thomson–East Coast
Caldecott MRT,Thomson–East Coast
Petir LRT,Bukit Panjang LRT
Pending LRT,Bukit Panjang LRT
Bangkit LRT,Bukit Panjang LRT
Fajar LRT,Bukit Panjang LRT
Segar LRT,Bukit Panjang LRT
Jelapang LRT,Bukit Panjang LRT
Senja LRT,Bukit Panjang LRT
Phoenix LRT,Bukit Panjang LRT
Teck Whye LRT,Bukit Panjang LRT
Keat Hong LRT,Bukit Panjang LRT
South View LRT,Bukit Panjang LRT
Cheng Lim LRT,Sengkang LRT
Farmway LRT,Sengkang LRT
Kupang LRT,Sengkang LRT
Thanggam LRT,Sengkang LRT
Fernvale LRT,Sengkang LRT
Layar LRT,Sengkang LRT
Tongkang LRT,Sengkang LRT
Renjong LRT,Sengkang LRT
Compassvale LRT,Sengkang LRT
Rumbia LRT,Sengkang LRT
Bakau LRT,Sengkang LRT
Kangkar LRT,Sengkang LRT
Ranggung LRT,Sengkang LRT
Damai LRT,Punggol LRT
Oasis LRT,Punggol LRT
Kadaloor LRT,Punggol LRT
Riviera LRT,Punggol LRT
Coral Edge LRT,Punggol LRT
Meridian LRT,Punggol LRT
Cove LRT,Punggol LRT
Sam Kee LRT,Punggol LRT
Punggol Point LRT,Punggol LRT
Samudera LRT,Punggol LRT
Nibong LRT,Punggol LRT
Sumang LRT,Punggol LRT
Soo Teck LRT,Punggol LRT
