town,flat_type,year_sold,floor_area_sqm,resale_price
ANG MO KIO,2 ROOM,1990,45.0,23000.0
ANG MO KIO,2 ROOM,1991,45.0,29000.0
ANG MO KIO,2 ROOM,1992,45.0,28000.0
ANG MO KIO,2 ROOM,1993,45.0,33500.0
ANG MO KIO,2 ROOM,1994,45.0,48000.0
ANG MO KIO,2 ROOM,1995,45.0,62500.0
ANG MO KIO,2 ROOM,1996,45.0,100000.0
ANG MO KIO,2 ROOM,1997,45.0,117500.0
ANG MO KIO,2 ROOM,1998,45.0,96500.0
ANG MO KIO,2 ROOM,1999,45.0,88000.0
ANG MO KIO,2 ROOM,2000,45.0,103500.0
ANG MO KIO,2 ROOM,2001,44.0,94000.0
ANG MO KIO,2 ROOM,2002,45.0,89500.0
ANG MO KIO,2 ROOM,2003,44.0,108000.0
ANG MO KIO,2 ROOM,2004,44.5,114600.0
ANG MO KIO,2 ROOM,2005,44.0,118000.0
ANG MO KIO,2 ROOM,2006,44.0,122000.0
ANG MO KIO,2 ROOM,2007,44.0,135900.0
ANG MO KIO,2 ROOM,2008,44.0,157000.0
ANG MO KIO,2 ROOM,2009,44.0,181000.0
ANG MO KIO,2 ROOM,2010,44.0,210500.0
ANG MO KIO,2 ROOM,2011,44.0,252500.0
ANG MO KIO,2 ROOM,2012,44.0,265000.0
ANG MO KIO,2 ROOM,2013,44.0,280000.0
ANG MO KIO,2 ROOM,2014,44.0,266000.0
ANG MO KIO,2 ROOM,2015,44.0,240000.0
ANG MO KIO,2 ROOM,2016,44.0,245000.0
ANG MO KIO,2 ROOM,2017,44.0,233000.0
ANG MO KIO,2 ROOM,2018,44.0,210000.0
ANG MO KIO,2 ROOM,2019,44.0,192500.0
ANG MO KIO,2 ROOM,2020,44.0,204000.0
ANG MO KIO,2 ROOM,2021,44.0,230000.0
ANG MO KIO,2 ROOM,2022,44.0,244000.0
ANG MO KIO,3 ROOM,1990,68.0,47000.0
ANG MO KIO,3 ROOM,1991,68.0,47000.0
ANG MO KIO,3 ROOM,1992,68.0,47000.0
ANG MO KIO,3 ROOM,1993,68.0,80000.0
ANG MO KIO,3 ROOM,1994,68.0,95000.0
ANG MO KIO,3 ROOM,1995,68.0,126000.0
ANG MO KIO,3 ROOM,1996,68.0,184000.0
ANG MO KIO,3 ROOM,1997,68.0,207000.0
ANG MO KIO,3 ROOM,1998,68.0,161000.0
ANG MO KIO,3 ROOM,1999,68.0,150000.0
ANG MO KIO,3 ROOM,2000,68.0,160000.0
